Designator,Mid X,Mid Y,Layer,Rotation
C1,23.0000,25.0000,Top,0
C2,23.0000,20.0000,Top,0
C3,20.2000,16.4000,Top,0
FB1,20.0000,25.0000,Top,0
J1,21.5000,4.0000,Top,0
J2,2.1000,2.5000,Top,0
J3,2.1000,30.5000,Top,0
J6,20.1200,26.2000,Top,0
J7,4.8800,26.2000,Top,0
Q1,17.0000,20.0000,Top,0
R1,20.0000,9.0000,Top,0
R2,23.0000,9.0000,Top,0
R3,16.3000,14.6000,Top,0
R4,20.0000,20.0000,Top,0
R5,14.2000,16.4000,Top,0
R6,17.2000,16.4000,Top,0
