Designator,Mid X,Mid Y,Layer,Rotation
C1,14.0000,25.0000,Top,0
C2,14.0000,20.0000,Top,0
C3,16.8000,16.4000,Top,0
FB1,11.0000,25.0000,Top,0
J1,4.0000,4.5000,Top,0
J2,22.9000,2.5000,Top,0
J3,22.9000,30.5000,Top,0
J6,3.7500,26.2000,Top,0
J7,21.2500,26.2000,Top,0
Q1,8.0000,20.0000,Top,0
R1,11.0000,9.0000,Top,0
R2,14.0000,9.0000,Top,0
R3,14.7000,14.6000,Top,0
R4,11.0000,20.0000,Top,0
R5,10.8000,16.4000,Top,0
R6,13.8000,16.4000,Top,0
